month,count,tokens
2010-10-01,643,344.02799377916
2010-11-01,659,336.194233687405
2010-12-01,557,339.524236983842
2011-01-01,710,334.171830985916
2011-02-01,662,356.515105740181
2011-03-01,706,358.164305949009
2011-04-01,613,370.619902120718
2011-05-01,629,329.79173290938
2011-06-01,629,349.015898251192
2011-07-01,607,331.940691927512
2011-08-01,654,331.350152905199
2011-09-01,681,332.306901615272
2011-10-01,678,355.650442477876
2011-11-01,652,324.133435582822
2011-12-01,538,325.700743494424
2012-01-01,707,315.851485148515
2012-02-01,698,319.001432664756
2012-03-01,751,323.864181091877
2012-04-01,743,346.632570659489
2012-05-01,772,344.256476683938
2012-06-01,733,331.339699863574
2012-07-01,780,325.617948717949
2012-08-01,862,351.943155452436
2012-09-01,749,357.249666221629
2012-10-01,790,348.160759493671
2012-11-01,840,324.932142857143
2012-12-01,713,345.561009817672
2013-01-01,888,341.528153153153
2013-02-01,838,339.033412887828
2013-03-01,832,339.830528846154
2013-04-01,861,363.312427409988
2013-05-01,878,352.490888382688
2013-06-01,816,339.225490196078
2013-07-01,828,357.222222222222
2013-08-01,890,360.276404494382
2013-09-01,974,352.169404517454
2013-10-01,941,368.838469713071
2013-11-01,872,372.973623853211
2013-12-01,752,372.11835106383
2014-01-01,948,388.223628691983
2014-02-01,949,421.706006322445
2014-03-01,910,416.315384615385
2014-04-01,971,428.087538619979
2014-05-01,1003,413.977068793619
2014-06-01,947,434.365364308342
2014-07-01,959,411.680917622523
2014-08-01,792,432.792929292929
2014-09-01,918,448.014161220044
2014-10-01,895,425.173184357542
2014-11-01,836,424.769138755981
2014-12-01,686,440.004373177843
2015-01-01,908,430.67731277533
2015-02-01,764,417.946335078534
2015-03-01,963,426.109034267913
2015-04-01,835,432.57125748503
2015-05-01,800,439.05125
2015-06-01,901,431.168701442841
2015-07-01,839,434.862932061979
2015-08-01,787,455.240152477764
2015-09-01,898,454.024498886414
2015-10-01,860,445.344186046512
2015-11-01,800,450.22
2015-12-01,743,460.253028263795
2016-01-01,859,447.352735739232
2016-02-01,948,476.905063291139
2016-03-01,880,446.176136363636
2016-04-01,945,457.887830687831
2016-05-01,784,446.432397959184
2016-06-01,864,470.577546296296
2016-07-01,794,454.265743073048
2016-08-01,866,470.697459584296
2016-09-01,922,471.129067245119
2016-10-01,814,478.19656019656
2016-11-01,856,471.154205607477
2016-12-01,745,479.767785234899
2017-01-01,927,460.11003236246
2017-02-01,846,472.695035460993
2017-03-01,1116,496.106630824373
2017-04-01,871,481.298507462687
2017-05-01,954,468.872117400419
2017-06-01,907,452.135611907387
2017-07-01,871,455.473019517796
2017-08-01,940,477.829787234043
2017-09-01,941,481.600425079702
2017-10-01,887,461.383314543405
2017-11-01,851,482.552291421857
2017-12-01,764,484.255235602094
2018-01-01,926,444.91252699784
2018-02-01,896,462.058035714286
2018-03-01,890,466.552808988764
2018-04-01,801,473.406991260924
2018-05-01,785,478.233121019108
2018-06-01,807,467.451053283767
2018-07-01,799,467.239048811014
2018-08-01,821,472.359317904994
2018-09-01,786,494.483460559796
2018-10-01,816,490.147058823529
2018-11-01,755,510.433112582781
2018-12-01,753,502.966799468792
2019-01-01,921,468.109663409338
2019-02-01,901,493.099889012209
2019-03-01,892,506.511210762332
2019-04-01,834,492.29376498801
2019-05-01,931,528.941997851772
2019-06-01,771,538.098573281453
2019-07-01,913,520.144578313253
2019-08-01,868,512.210829493088
2019-09-01,869,494.989643268124
2019-10-01,893,499.677491601344
